word;translation;example_sentence;transition_sentence
a; ein; a dog is barking; ein Hund ist bellend
abandon; verlassen; they abandoned the car; sie verließen das Auto
ability; Fähigkeit; she has the ability to sing; sie hat die Fähigkeit zu singen
able; fähig; he is able to swim; er ist fähig zu schwimmen
about; über; it's about the movie; es ist über den Film
above; über; the bird flew above the tree; der Vogel flog über den Baum
abroad; im Ausland; she went abroad; sie ging ins Ausland
absolute; absolut; it's an absolute disaster; es ist ein absolutes Desaster
absolutely; absolut; that's absolutely correct; das ist absolut richtig
academic; akademisch; he has academic qualifications; er hat akademische Qualifikationen
accept; akzeptieren; they accept the offer; sie akzeptieren das Angebot
acceptable; akzeptabel; that's acceptable; das ist akzeptabel
access; Zugang; they have access to internet; sie haben Zugang zum Internet
accident; Unfall; it was an accident; es war ein Unfall
accommodation; Unterkunft; they offer accommodation for tourists; sie bieten Unterkunft für Touristen an
accompany; begleiten; I will accompany you; ich werde dich begleiten
according to; gemäß; according to them, it's true; gemäß ihnen ist es wahr
account; Konto/Bericht; she opened a new bank account; sie öffnete ein neues Bankkonto
accurate; genau; the data is accurate; die Daten sind genau
accuse; anklagen; they accuse him of a crime; sie klagen ihn eines Verbrechens an
achieve; erreichen; he wants to achieve a goal; er möchte ein Ziel erreichen
achievement; Leistung; this is a great achievement; das ist eine große Leistung
acknowledge; anerkennen; they acknowledge her hard work; sie erkennen ihre harte Arbeit an
acquire; erwerben; they acquire new skills; sie erwerben neue Fähigkeiten
across; über; he walked across the bridge; er ging über die Brücke
act; handeln; they act together; sie handeln zusammen
action; Handlung; his action was wrong; seine Handlung war falsch
active; aktiv; she is very active; sie ist sehr aktiv
activity; Aktivität; it's a fun activity; es ist eine spaßige Aktivität
actor; Schauspieler; he is a famous actor; er ist ein berühmter Schauspieler
actress; Schauspielerin; she is a great actress; sie ist eine großartige Schauspielerin
actual; tatsächlich; the actual cost is higher; die tatsächlichen Kosten sind höher
actually; tatsächlich; I actually saw it; ich sah es tatsächlich
ad; Anzeige; I saw an ad in the paper; ich sah eine Anzeige in der Zeitung
adapt; anpassen; they need to adapt the program; sie müssen das Programm anpassen
add; hinzufügen; please add some sugar; bitte füge etwas Zucker hinzu
addition; Hinzufügung; this is a good addition; das ist eine gute Hinzufügung
additional; zusätzlich; we need additional help; wir brauchen zusätzliche Hilfe
address; Adresse; what is your address?; was ist deine Adresse?
administration; Verwaltung; the administration manages the office; die Verwaltung verwaltet das Büro
admire; bewundern; I admire your courage; ich bewundere deinen Mut
admit; zugeben; they admit their mistake; sie geben ihren Fehler zu
adopt; annehmen; they adopt a new policy; sie nehmen eine neue Politik an
adult; erwachsen; he is an adult; er ist ein Erwachsener
advance; vorrücken; they advance to the next stage; sie rücken zur nächsten Stufe vor
advanced; fortgeschritten; he is at an advanced level; er ist auf einem fortgeschrittenen Niveau
advantage; Vorteil; this is an advantage; das ist ein Vorteil
adventure; Abenteuer; it's a big adventure; es ist ein großes Abenteuer
advertise; werben; they advertise their products; sie werben für ihre Produkte
advertisement; Werbung; that's an advertisement; das ist eine Werbung
advertising; Werbung; the advertising campaign is successful; die Werbekampagne ist erfolgreich
advice; Ratschlag; I need some advice; ich brauche etwas Ratschlag
advise; raten; I advise you to do that; ich rate dir, das zu tun
affair; Angelegenheit; it's a private affair; es ist eine private Angelegenheit
affect; beeinflussen; the weather affects my mood; das Wetter beeinflusst meine Stimmung
afford; leisten; they cannot afford this; sie können sich das nicht leisten
afraid; ängstlich; I'm afraid of dogs; ich bin ängstlich vor Hunden
after; nach; I'll come after work; ich werde nach der Arbeit kommen
afternoon; Nachmittag; it's a beautiful afternoon; es ist ein schöner Nachmittag
afterwards; danach; we will go afterwards; wir werden danach gehen
again; wieder; please do that again; bitte mache das wieder
against; gegen; he is against this; er ist dagegen
age; Alter; what is your age?; was ist dein Alter?
aged; gealtert; an aged man; ein gealterter Mann
agency; Agentur; this is a travel agency; das ist eine Reiseagentur
agenda; Tagesordnung; what's on the agenda?; was steht auf der Tagesordnung?
agent; Agent; he is a secret agent; er ist ein geheimer Agent
aggressive; aggressiv; the dog is aggressive; der Hund ist aggressiv
ago; vor; it happened a long time ago; es geschah vor langer Zeit
agree; zustimmen; I agree with you; ich stimme dir zu
agreement; Vereinbarung; they reached an agreement; sie erreichten eine Vereinbarung
ah; ah; ah, I understand now; ah, ich verstehe jetzt
ahead; vorwärts; go straight ahead; geh geradeaus vorwärts
aid; Hilfe; they offer aid; sie bieten Hilfe an
aim; Ziel; what is your aim?; was ist dein Ziel?
air; Luft; the air is fresh; die Luft ist frisch
aircraft; Flugzeug; this is a big aircraft; das ist ein großes Flugzeug
airline; Fluglinie; which airline are you flying with?; mit welcher Fluglinie fliegst du?
airport; Flughafen; the airport is big; der Flughafen ist groß
alarm; Alarm; the alarm went off; der Alarm ging los
album; Album; this is a good album; das ist ein gutes Album
alcohol; Alkohol; alcohol is bad for your health; Alkohol ist schlecht für deine Gesundheit
alcoholic; alkoholisch; he is an alcoholic; er ist ein Alkoholiker
alive; lebendig; the bird is still alive; der Vogel ist noch lebendig
all; alle; all people are different; alle Leute sind verschieden
all right; in Ordnung; is everything all right?; ist alles in Ordnung?
allow; erlauben; they allow pets; sie erlauben Haustiere
almost; fast; it's almost done; es ist fast fertig
alone; allein; she is alone; sie ist allein
along; entlang; they walk along the beach; sie gehen entlang des Strandes
already; schon; they are already here; sie sind schon hier
also; auch; I want to go also; ich möchte auch gehen
alter; ändern; they alter the design; sie ändern das Design
alternative; Alternative; this is an alternative option; das ist eine alternative Option
although; obwohl; although it's late, I am not tired; obwohl es spät ist, bin ich nicht müde
always; immer; I always go there; ich gehe immer dorthin
amazed; erstaunt; I am amazed by this; ich bin erstaunt von dem
amazing; erstaunlich; it's an amazing view; es ist eine erstaunliche Aussicht
